Key,File,Type,UsedInMainMenu,NoTranslate,Context,English,Russian,Ukrainian
resourceSPprimer,items,Item,,,,"Small Pistol Primer","Капсюль","Капсуль"
resourceLPprimer,items,Item,,,,"Large Pistol Primer","Капсюль","Капсуль"
resourceLRprimer,items,Item,,,,"Large Rifle Primer","Капсюль","Капсуль"
resourceSGprimer,items,Item,,,,"Shotgun Primer","Капсюль","Капсуль"
resourceSPprimerDesc,items,Item,,,,"Component used for crafting 9mm ammunition","Компонент, который используется для изготовления боеприпасов","Компонент, який використовується для виготовлення боєприпасів"
resourceLPprimerDesc,items,Item,,,,"Component used for crafting .44 ammunition","Компонент, который используется для изготовления боеприпасов","Компонент, який використовується для виготовлення боєприпасів"
resourceLRprimerDesc,items,Item,,,,"Component used for crafting 7.62mm ammunition","Компонент, который используется для изготовления боеприпасов","Компонент, який використовується для виготовлення боєприпасів"
resourceSGprimerDesc,items,Item,,,,"Component used for crafting Shotgun ammunition","Компонент, который используется для изготовления боеприпасов","Компонент, який використовується для виготовлення боєприпасів"

resourceSteelBulletTip9mm,items,Item,,,,"Steel 9mm Bullet Tip","Стальной наконечник пули 9 мм","Сталевий накінечник кулі 9 мм"
resourceSteelBulletTip9mmAP,items,Item,,,,"Steel AP 9mm Bullet Tip","Стальной наконечник пули 9 мм","Сталевий накінечник кулі 9 мм"
resourceSteelBulletTip9mmHP,items,Item,,,,"Steel HP 9mm Bullet Tip","Стальной наконечник пули 9 мм","Сталевий накінечник кулі 9 мм"
resourceSteelBulletTip9mmDesc,items,Item,,,,"More punch than a lead tip!","Больше урона, чем от свинцового наконечника!","Більше шкоди, ніж від свинцевого накінечника!"
resourceSteelBulletTip9mmAPDesc,items,Item,,,,"More punch than a lead tip!","Больше урона, чем от свинцового наконечника!","Більше шкоди, ніж від свинцевого накінечника!"
resourceSteelBulletTip9mmHPDesc,items,Item,,,,"More punch than a lead tip!","Больше урона, чем от свинцового наконечника!","Більше шкоди, ніж від свинцевого накінечника!"

